ATCF,Name,rows,dat,Lat,Lon,MaxW,MinP,34NE,34SE,34SW,34NW,50NE,50SE,50SW,50NW,64NE,64SE,64SW,64NW,Rad
AL011851,UNNAMED,14,1851-06-24,28.0,-94.8,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011851,UNNAMED,14,1851-06-25,28.1,-96.3,78.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011851,UNNAMED,14,1851-06-26,28.6,-98.5,55.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011851,UNNAMED,14,1851-06-27,30.2,-100.0,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021851,UNNAMED,1,1851-07-05,22.2,-97.6,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031851,UNNAMED,1,1851-07-10,12.0,-60.0,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-15,13.4,-48.0,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-16,14.2,-52.0,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-17,16.0,-59.5,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-18,17.4,-66.8,87.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-19,19.1,-73.5,65.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-20,21.6,-79.6,67.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-21,24.1,-83.8,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-22,26.5,-86.1,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-23,29.4,-86.0,98.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-24,32.9,-82.1,55.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-25,36.3,-76.1,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-26,40.8,-68.0,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,49,1851-08-27,46.5,-57.2,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051851,UNNAMED,16,1851-09-12,32.5,-73.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051851,UNNAMED,16,1851-09-13,32.5,-73.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051851,UNNAMED,16,1851-09-14,32.5,-73.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051851,UNNAMED,16,1851-09-15,32.5,-73.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051851,UNNAMED,16,1851-09-16,32.5,-73.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,17,1851-10-15,28.7,-78.0,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,17,1851-10-16,29.9,-77.2,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,17,1851-10-17,31.9,-75.7,60.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,17,1851-10-18,34.9,-73.4,57.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,17,1851-10-19,40.5,-71.8,47.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-18,20.5,-67.1,60.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-19,21.0,-69.2,62.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-20,21.8,-73.5,72.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-21,22.7,-77.6,82.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-22,24.1,-81.6,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-23,25.9,-85.0,92.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-24,27.9,-87.2,100.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-25,29.3,-88.3,100.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-26,30.9,-88.2,77.5,961.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-27,33.0,-83.6,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-28,34.4,-75.3,42.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,45,1852-08-29,38.8,-70.0,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021852,UNNAMED,8,1852-09-04,17.0,-64.1,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021852,UNNAMED,8,1852-09-05,18.0,-66.8,65.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021852,UNNAMED,8,1852-09-06,19.5,-71.3,43.3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-08,26.4,-90.4,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-09,26.6,-88.5,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-10,27.2,-85.8,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-11,27.9,-83.7,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-12,28.5,-80.8,55.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031852,UNNAMED,20,1852-09-13,32.1,-74.3,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-21,16.1,-58.5,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-22,16.9,-60.1,52.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-23,18.2,-63.3,67.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-24,19.2,-66.2,72.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-25,19.9,-69.2,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-26,20.9,-71.9,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-27,22.9,-74.2,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-28,26.0,-74.2,80.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-29,29.8,-71.8,77.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041852,UNNAMED,36,1852-09-30,33.8,-69.1,70.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-05,17.0,-73.8,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-06,17.3,-77.2,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-07,19.2,-83.6,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-08,23.3,-86.6,90.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-09,28.9,-84.9,88.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-10,33.5,-80.1,52.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,25,1852-10-11,38.0,-70.0,56.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011853,UNNAMED,1,1853-08-05,32.5,-69.0,50.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021853,UNNAMED,1,1853-08-10,12.0,-60.0,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031853,UNNAMED,48,1853-08-29,12.1,-23.2,40.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031853,UNNAMED,48,1853-08-30,12.7,-28.0,42.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031853,UNNAMED,48,1853-08-31,13.8,-35.8,60.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
